17864,0,18967
18512,0,39890
16972,1,23886
5962,0,23648
25149,1,16275
15197,0,25079
13731,1,120
11764,0,37655
14829,0,28257
13060,1,9721
3394,5,33770
1967,1,16899
9654,3,6667
2617,4,8881
5498,4,38833
14512,3,24171
13010,0,24300
7799,0,4661
3650,1,35943
31226,0,19946
33628,0,559
11609,0,6301
6443,6,40279
9465,1,28368
14738,5,35779
31832,0,26254
10821,0,5586
10128,0,9360
38159,0,4293
11314,0,11084
6977,1,5580
26973,6,11904
11241,5,998
2802,1,8242
25385,0,3957
21854,1,14425
13255,0,20461
31459,0,9641
16589,0,18557
28919,0,37897
11824,1,17186
26807,1,24040
2907,2,26128
16558,1,12586
37183,0,38499
1658,4,29310
28818,0,8058
13047,0,20996
16916,0,18118
12403,1,8119
13481,4,11460
114,1,1297
9137,1,8814
1860,1,6979
20130,3,35493
12800,0,297
9594,4,31379
12085,0,11910
6994,5,7361
27410,0,6703
11562,1,1100
3140,1,24023
29913,0,184
18932,6,27932
117,1,7136
33359,0,13672
17918,6,31679
2146,7,40158
10608,1,15997
16,4,21747
30635,0,4635
10588,0,14593
11677,1,1433
10690,0,331
33816,6,6689
1341,1,3123
3812,1,33787
4503,0,6083
7094,0,5336
33410,0,20462
2443,0,10202
2396,1,20579
24402,6,33697
13689,0,13630
26002,0,24235
4770,3,10676
17582,0,251
32174,1,9703
24959,6,1868
34179,0,4995
29707,5,35779
2803,3,19563
6054,1,9982
14221,0,37967
10884,0,33980
9910,1,9236
20691,1,22206
30572,0,33371
12682,4,35420
12651,1,25771
29572,1,4353
32955,0,6458
23784,6,22149
31890,0,4296
19905,1,24067
4612,4,37944
5985,0,39395
12560,2,13689
10478,3,39117
972,1,23599
12356,2,5991
32794,0,964
25554,0,15891
155,0,29437
2947,1,22465
34849,1,3091
11429,1,1875
36032,0,34965
21950,0,7056
15850,9,23562
36134,0,20809
22603,1,3620
8611,4,17099
35342,0,22593
5160,1,28912
12724,0,7315
19052,9,25082
26032,0,2978
2772,1,20336
29175,2,14970
22228,1,19368
17796,1,5045
3973,4,19214
24396,2,4816
32637,0,15891
9115,0,16756
19977,0,36315
456,0,35201
32876,0,8836
30729,2,9005
12147,4,38359
8167,1,8640
19402,0,29025
24257,1,7997
34362,0,2870
7257,1,26148
14365,1,11096
37553,0,8022
28097,1,1110
815,8,33457
26072,1,2269
2690,4,26444
34932,0,2901
19775,1,29667
20453,1,30741
34670,2,13726
14817,0,36319
16892,5,474
19945,0,31350
9022,4,9327
29227,0,12485
31346,1,19530
878,7,3367
28873,0,33121
10614,0,6388
500,1,32202
18548,0,11057
2458,1,33239
17218,1,10513
23940,4,35841
17296,0,38704
21275,1,6992
4403,1,31912
22078,0,11948
18849,0,712
14984,0,19928
24915,0,33350
2979,1,34998
7014,1,24904
23615,4,2429
27952,5,35779
8611,4,24449
405,8,31098
34811,0,12273
15130,6,29072
5804,0,39689
21769,5,23784
6895,1,17656
17862,1,3152
9825,2,11801
27593,1,8522
8220,1,8595
8787,1,4026
30688,0,3685
34820,0,36231
18982,0,17781
10738,0,19674
2588,1,9
31441,0,19145
29748,1,14758
6073,1,15340
33488,0,9450
18046,1,21465
15755,4,18487
25983,0,6829
19460,1,11944
142,1,28602
18304,0,38605
17020,1,1014
8807,1,21275
7179,1,25551
19701,0,17482
7352,1,21001
30914,0,6550
1764,6,311
5153,1,11579
28431,0,10523
6601,0,7315
30719,0,30434
34100,0,39621
3139,0,5113
1999,1,11758
32299,0,40087
592,0,14123
4979,1,16767
20610,6,126
15450,0,12152
24248,0,16343
14492,0,18479
403,0,1855
33229,0,36724
26061,1,15148
9527,4,30896
29340,0,25010
8815,0,9114
38926,1,13517
7186,1,5278
23274,0,14578
3822,4,28642
34557,0,33350
30203,6,13133
38589,0,28256
1258,0,12651
7453,1,13242
23080,1,26077
13152,0,5307
22003,5,13889
20578,0,6659
26533,0,31308
38713,0,5445
1742,6,11527
25216,2,4816
29893,0,20631
410,1,7871
23669,1,21235
7163,8,2624
24614,1,32332
29348,1,4253
19710,1,23258
11743,1,5520
405,8,40507
24041,6,22403
23240,0,36649
14769,1,16963
3686,1,14332
27230,1,15216
11295,4,21898
1154,1,12575
15619,6,23325
21967,5,13913
8654,4,13955
15186,5,17906
6560,1,7455
10814,1,10041
7751,1,17823
16452,1,741
10126,1,15524
38663,0,12288
12543,4,17556
1606,1,1564
25544,9,9326
6452,1,501
803,0,15503
12360,1,14290
9047,0,11079
19370,6,32224
297,3,20563
10354,4,5613
5876,1,27176
15209,1,13252
3022,1,23823
13237,0,4804
8772,0,9688
19794,1,10199
6264,1,5527
36587,0,18921
7548,1,174
18982,0,16837
18120,1,779
1884,0,28687
10785,0,4807
24302,1,1320
25746,1,30349
17534,4,26913
21139,0,36410
4699,0,18066
25997,1,1037
28756,4,25525
36951,0,14123
14882,6,5021
362,3,12415
3881,1,1926
20784,2,14645
4174,5,39795
22472,0,35201
6843,1,13478
4405,4,30931
2314,1,11420
3399,1,1659
168,0,400
39042,0,32040
17997,0,33550
5838,1,19451
8907,1,15735
13511,0,31114
36479,0,30919
33020,0,5287
13271,0,79
28923,0,21925
13185,1,6540
20440,0,12338
8711,4,39047
18852,1,20976
23489,1,1317
14570,4,17522
9812,6,26350
2934,0,13521
18755,0,27974
12258,0,26235
39564,2,4816
878,7,24522
13226,6,34821
3966,1,22154
3147,1,9479
6928,0,16990
21244,0,21910
10916,1,11345
23221,4,24784
21188,0,4921
3540,0,1272
8524,0,29099
32162,0,27013
12580,0,6090
19565,1,29050
30649,0,17482
17731,8,16443
24055,0,36337
11152,4,20558
12102,1,8903
14214,1,22373
26544,1,37414
12586,1,32721
588,4,12904
2316,7,3230
26065,0,7379
33027,0,7504
9195,1,18960
12024,1,19561
771,0,21804
10876,0,36684
14502,1,7968
1223,1,32328
19593,1,2248
37830,0,27795
2024,4,22004
9947,0,37396
11474,0,6112
1630,1,10157
34007,1,17250
1009,6,34667
13680,1,14782
36817,0,3345
1035,9,5492
5338,1,5341
13790,5,34296
17043,0,2147
21232,1,4347
14991,0,22755
13203,1,26085
30750,0,30830
7048,1,17144
7358,0,26432
19153,6,26512
23966,1,22259
18885,0,17482
21835,1,32429
21114,0,15875
32358,0,10513
8255,4,10907
25579,1,24626
10318,1,25997
11992,4,28677
10095,1,21039
3512,0,18192
28332,6,39332
31956,0,27974
34517,1,11680
9235,0,23672
9354,1,8593
23281,5,9380
2708,6,4808
32357,0,5339
21268,0,35119
2216,0,23414
37055,0,37868
3760,9,12344
23754,0,13739
23105,1,18560
5806,3,2435
25867,0,5336
1901,1,22343
7167,1,14580
13513,5,28273
3318,0,2922
4653,1,15680
24475,5,16634
18967,1,8004
6026,1,9973
8640,1,8635
8928,2,17749
38968,0,18761
18693,6,29687
4164,1,15313
11927,1,8628
6574,4,30296
22892,1,1472
20226,3,23767
12806,0,12884
6973,5,28273
6719,0,32968
8003,6,10329
1555,1,19531
36350,0,7487
7030,4,6011
27680,1,673
27019,5,474
677,1,16245
18130,0,38178
16077,1,15539
7909,6,1281
17935,5,35779
833,4,6465
6550,1,25587
18621,4,35387
1875,1,18148
19061,1,31391
2862,1,20719
9451,1,14561
33705,0,7692
24648,0,1009
6431,0,27974
33737,0,15856
6531,0,863
11568,1,2465
25115,0,2088
5577,1,15997
8218,1,108
35790,0,6083
18084,0,13652
32058,5,11669
35844,4,39678
37479,0,39620
3832,1,12004
2096,4,15468
2066,0,26231
19920,1,17047
1257,6,691
15761,0,5445
38849,1,15850
31501,1,2838
22362,0,36792
33618,0,20461
20905,1,20773
12820,1,4042
12638,1,8806
20747,0,32968
314,6,22215
20638,0,8220
799,5,39166
12853,0,7380
9161,1,15180
27875,0,36649
3941,0,5321
2665,6,28421
24065,1,8914
4024,0,35457
6683,1,21382
27730,0,6540
22729,4,33342
29312,1,7191
5766,0,15656
35046,2,15549
1442,6,3652
15182,0,5834
21440,1,25315
1225,1,25859
19913,0,26505
16818,1,24159
32791,2,11801
8318,4,29083
35852,2,12018
13134,1,12417
15244,0,5766
8499,1,6364
33399,5,474
3522,0,25117
20992,1,2606
24161,0,36352
23190,0,18112
3222,1,1698
28603,0,36304
11400,1,13673
18579,1,2499
17683,0,13514
19714,0,16343
27810,2,32881
766,0,31152
5226,0,11801
5341,1,18747
405,8,37057
22475,5,1235
978,6,19311
25132,2,896
24511,1,12879
27631,0,22480
12669,0,27359
16614,1,3038
825,1,21014
21115,0,33539
30354,0,11781
10019,0,8949
24412,9,17950
15028,3,36267
13914,0,21910
35604,0,12884
1421,4,16002
24402,8,1621
22175,9,7078
19160,1,14900
16,4,23241
25069,4,8092
37116,0,24408
17267,0,6031
8267,5,15438
12571,0,7259
31221,0,8323
16591,1,2635
33799,5,474
9577,4,15521
2290,0,14756
9577,0,17586
3792,1,5710
9100,0,38363
27827,6,36614
6485,1,18417
2675,4,23871
35493,3,20130
24809,0,16800
6218,0,11288
34197,4,24142
5372,4,14281
26068,0,30340
28758,0,13907
4684,4,39461
855,6,3768
501,1,6017
9699,0,6728
15137,0,11753
3052,3,14034
35928,0,23598
22931,0,11956
9461,4,2604
12415,3,362
12333,4,24937
7981,1,12203
4495,4,21787
3224,0,1674
37960,2,14859
33151,0,26754
16057,1,10134
18514,1,4491
4748,0,4358
11602,1,20517
